autor	název	originál	přečteno	originál vydáno	imglink	tagy	popis
Květoslav Mlynařík	Beseda bohů: Psychologie skutečnosti	Beseda bohů: Psychologie skutečnosti	2000	1990	80-85202-00-X.jpg	duchovní, jóga	Beseda bohů je napsána jako učebnice jógy. Květoslav Minařík zde podává zevrubné informace o různých druzích jóg a přizpůsobuje je evropskému životu a myšlení v závěrečné „integrální józe. Problém duchovního vývoje se zde řeší především mravním přepodstatněním, založeným na vůlí vyvolaných a záměrně udržovaných pocitech. Teprve na nich pak staví meditační, koncentrační a dechová cvičení.
Franz Kafka	Zámek	Das Schloss	2000	1926	80-85844-30-3.jpg	beletrie	Hlavní roli v románu hraje zeměměřič K., který je zámkem povolán do vesnice, aby zde provedl úřední měření. Už při svém příchodu se setkává se zvláštnostmi zdejšího prostředí, především pak samotných obyvatel, kteří z něj mají strach, straní se ho a bojí. Kvůli úředním nesrovnalostem mu starosta obce nechce dát zeměměřičskou práci a přiděluje k němu dva otravné pomocníky. Po románku se zdejší vysoce postavenou servírkou Frídou z Panského hostince, která je údajnou milenkou váženého a obávaného zámeckého úředníka Klamma, se K. dostává do nemilosti hostinské, je vyhozen z Hospody u mostu a je mu nabídnuto místo školníka. Zde nalezne útočiště i se svou snoubenkou. Jejich vztah však netrvá dlouho. Po návštěvě zámeckého posla Barnabáše, jehož rodina je ve vesnici nechvalně proslulá kvůli skandálu sestry Amálie, se po debatě s mladší ze sester – Olgou – dovídá mnoho o hierarchii na zámku, o postavení úředníků a pravidlech ve vesnici...
Fritjof Capra	Bod obratu	The Turning Point. Science, Society and the Rising Culture	2002	1982	80-7287-024-6.jpg	filozofie, věda	Polemika významného amerického fyzika o filosofických a společenských důsledcích moderní vědy a změny vědeckého paradigmatu. Historický vývoj a důsledky karteziánsko-newtonovského světonázoru, jeho hluboký vliv na biologii, medicínu, psychologii a ekonomii, krize a transformace současného myšlení. V poslední části detailní diskuse o nové vizi reality. Ve spolupráci se S. Grofem, G. Batesonem, H. Hendersonovou, M. Lockovou a C. Simontonem a dalšími významnými vědci.
J. R. R. Tolkien	Hobit	The Hobbit, or There and Back Again	2002	1937	80-204-0983-1.jpg	beletrie, scifi-fantasy	Toto je příběh o tom, kterak se Pytlík vydal za dobrodružstvím a shledal, že náhle dělá a říká naprosto neočekávané věci… Bilbo Pytlík je hobit, který se těší z pohodlnéh a skromného života a jen zřídkakdy putuje dále než do své spižírny ve Dně pytle. Jeho spokojené bytí je však narušeno, když se jednoho dne u jeho prahu objeví čaroděj Gandalf v doprovodu třinácti trpaslíků a vezmou ho s sebou na cestu 'tam a zase zpátky'. Mají v úmyslu uloupit poklad mocného Šmaka, velikého a velmi nebezpečného draka...
J. R. R. Tolkien	Společenstvo Prstenu	The Fellowship of the Rings	2002	1954	80-204-0925-4.jpg	beletrie, scifi-fantasy	Nechme se okouzlit strhujícím příběhem kouzelného prstenu, který hraje klíčovou roli v boji dobra a zla v dávné Středozemi. Nechme se pohltit Středozemí, obdivujme se zoufalému hrdinství malého hobita, který jediný se může pokusit donést temný prsten tam, kde bude možné ho zničit, strachujme se, že by snad svůj úkol splnit nedokázal a nezachránil Středozemi před přílivem tmy, která by její obyvatele uvrhla do otroctví a beznaděje. Nechme se okouzlit – Pán prstenů nám tu možnost dává, nezávisle na tom, jestli jsme seriózní dospělci nebo dychtivé a naivní děti.
J. R. R. Tolkien	Dvě věže	The two towers	2002	1954	80-204-0935-1.jpg	beletrie, scifi-fantasy	
J. R. R. Tolkien	Návrat krále	The return of king	2002	1955	80-204-0965-3.jpg	beletrie, scifi-fantasy	
Karl Raimund Popper	Budoucnost je otevřená	Die Zukunft ist offen (The Future is Open)	2002	1985	9788070212035.jpg	filozofie	rozhovor v Altenbergu a texty z vídeňského Popperovského sympozia, 1997
Józef Maria Bocheński	Cesty k filosofickému myšlení	Wege zum philosophischen Denken	2002	1959	80-205-0398-6.jpg	filozofie	Přímo světovým bestsellerem se stala tato útlá knížka, v níž se Bochenski pokusil vysvětlit podstatu filozofie. Autor rozebírá několik základních pojmů lidského vědění a jednání a u každého sleduje jeho filosofický rozměr. Knížka poslouží jako užitečný pomocník těm, kteří hledají přístupnou formou podaný úvod do filozofie.
Hans Joachim Störig	Malé dějiny filozofie	Kleine Weltgeschichte der Philosophie in zwei Bänden	2002	1990	80-7113-058-3.jpg	filozofie	Toto vše ukazuje jednoduchou a čtivou formou Störigova kniha Malé dějiny filozofie, která patří k nejúspěšnějším dílům tohoto druhu nejen u nás, ale i ve světě. Německý originál vyšel poprvé v roce 1950: autor jej následně doplňoval a přepracovával a v jeho rodné zemi se dočkal už sedmnácti vydání.
Jack Kerouac	Osamělý poutník	Lonesome Traveller	2002	1960	80-7203-546-0.jpg	beletrie	Povídkový soubor Osamělý poutník je jakýmsi koncentrovaným výtažkem z Jacka Kerouaca. Svůj život na cestě po Spojených státech, Mexiku, Maroku i po Evropě zaznamenává v kratších a sevřenějších, „ukázněnějších' příbězích. Najdeme v nich zážitky z mexické koridy, sledované pod vlivem opia, ze samoty v zasněžených horách, z Paříže, kde je tak snadné se zamilovat, z nočního New Yorku i sluncem rozpáleného Tangeru.
Paulo Coelho	Alchymista	O Alquimista	2002	1988	80-7203-697-1.jpg	beletrie	Vyprávění o cestě španělského pastýře za zakopaným pokladem, vycházející z příběhu o splněném snu ze sbírky Tisíc a jedna noc, je zároveň výzvou k naplnění vlastního osudu i poznáním posvátnosti světa, v němž žijeme. Na cestě za oním dvojím pokladem, plné zkoušek a důležitých setkání, je třeba dbát všech znamení a s neustálou trpělivostí a odvahou – jako alchymista sledující proměnu obyčejného kovu ve zlato – přetvořit samu svou osobnost.
Terence McKenna	Návrat archaismu	The Archaic Revival	2002	1992	80-85905-43-4.jpg	filozofie	Tato kniha je souhrnem nejrůznějších esejí, rozhovorů a interview, které se stále vracejí k jednomu tématu. Archaismem nazývá tendenci lidstva vracet se při ztrátě svých opěrných bodů k minulosti. My se však nyní musíme navrátit až patnáct tisíc let nazpět, abychom objevili autentické náboženské mystérium, které by se stalo hnací silou všeho dění. To vše je součástí hnutí New Age, ale tento termín přestal autor používat a nahradil termínem „návrat archaismu“.
Timothy Leary	Plán umírání	Design for dying	2002	1997	80-7207-182-3.jpg	duchovní, psychedelie	Tváří tvář smrtelné nemoci si Timothy Leary položil otázku, jak člověk vlastně funguje a kdy nastává okamžik jeho konce. Zaměřil se na moment, kdy se život náhle převrací v zánik. Autor se snaží předložit svou vlastní bizarní metodu plánované smrti. Nebát se smrti, ale přijmout ji jako součást své existence.
Timothy Leary	Neuropolitika	Neuropolitique	2002	1997	80-7242-052-6.jpg	duchovní, psychedelie	Kniha přináší některé z Learyho nejlepších myšlenek, jeho úvahy o minulosti i jeho naděje na lepší budoucnost.
George Frankl	Archeologie mysli	Archeology of the mind	2002	1989	80-7178-692-6.jpg	psychologie	V prvním svazku dvoudílných Sociálních dějin nevědomí se autor zamýšlí nad skutečností, že vedle neurózy, kterou trpí ve svém osobním životě řada našich současníků, je to i sama společnost, která vykazuje ve své struktuře a svých vnějších projevech nepochybné známky hluboké neurózy a která jednotlivé neurotiky v masovém měřítku produkuje. Právě léčení této sociální neurózy, do níž jsme zapleteni všichni, pokládá autor za nejpřednější úkol psychoanalýzy a své dílo koncipuje jako základní příspěvek k takzvané psychoanalytické sociologii. V Archeologii mysli se zabývá dětstvím lidské společnosti a zkoumá základní poznatky archeologie od samých počátků po objevení písemných dokladů a interpretuje je z pohledu psychoanalytické teorie. Ukazuje, co nám nálezy mohou naznačit o člověku, jeho mýtech a víře, konceptech světa, rodinné a sociální struktuře.
Jean-Paul Sartre	Zeď, Nevolnost	Le Mur	2003	1939	80-207-0345-4.jpg	beletrie	Sbírka novel vznikala postupně v rozmezí tří let. Některé z nich byly nejprve otištěny samostatně, avšak od roku 1939, kdy vyšly poprvé pod názvem Zeď (Le Mur), byly nadále vždy publikovány společně ve stejném pořadí a pod stejným titulem. Tato sbírka obsahuje 5 novel: Zeď, Místnost, Hérostratos, Intimita a Mládí vůdce.
Karl Raimund Popper	Logika vědeckého bádání	Logik der Forschung	2003	1934	80-86005-45-3.jpg	filozofie	Autor se zabývá problémem moderní teorie vědy.
Nikolaj Demjančuk	Filozofie a vědecké myšlení	Filozofie a vědecké myšlení	2003	2003	80-86473-19-8.jpg	filozofie	Kniha sleduje proměnu obrazu vědy v analytické tradici.
Gerald Holton	Věda a antivěda	Science and Anti-Science	2003	1993	80-200-0717-2.jpg	filozofie	Čím se vyznačuje pravá tradiční věda? Co je vlastním cílem vědecké činnosti? Na jakou autoritu si vědci mohou činit oprávněný nárok? Do jaké míry mohou být nebezpečná pro vědu i pro občanskou společnost různá protivědecká hnutí? Na tyto staré otázky, jež byly kladeny v každé době, hledá odpovědi Gerald Holton, profesor fyziky a dějin vědy na Harvardově univerzitě, a to nikoliv suše abstraktně a teoreticky, ale na živých příkladech zásadních vědeckých objevů a sporů kolem nich v moderní fyzice od počátku tohoto století. Kniha je určena především čtenářům s fyzikálním vzděláním, kteří budou moci asi nejlépe ohodnotit fundované odborné analýzy z velmi vlivného úseku fyzikálního vědeckého myšlení. Ale i pro vzdělance humanitního typu bude Holtonův text nepochybně v mnoha ohledech zajímavý a podnětný.
Jaroslav Peregrin	Úvod do analytické filozofie	Úvod do analytické filozofie	2003	1992	ibn1992.jpg	filozofie	Studie, která se snaží o pochopení reálného světa logickou analýzou jazyka.
Marc Ian Barasch	Léčivé sny	Healing Dreams: Exploring the Dreams That Can Transform Your Life	2003	2000	80-7106-521-8.jpg	duchovní, sny	Kniha Léčivé sny je dobrodružstvím, jež ukazuje, jakým způsobem nám mohou sny pomoci smířit se se svými vlastními rozpory, stát se otevřenějšími k ostatním, žít s větší odvahou a nalézt vnitřní moudrost, kterou všichni disponujeme. Tato kniha čerpá z patnácti let výzkumné práce a stává se podstatným přínosem literatuře o snech.
Maria Fürst	Psychologie	Psychologie	2003	1991	80-7198-199-0.jpg	psychologie	Kniha renomované rakouské autorky představuje důkladnou, ale přístupně zpracovanou učebnici psychologie, která je již řadu let úspěšně užívána na středních školách v Rakousku.
Carl Gustav Jung	Sto dopisů	Briefe I-III	2003	1972	80-901898-3-0.jpg	psychologie, jung	Autorovým rozsáhlým dílem, je neoddělitelnou částí i jeho korespondence.
Carl Gustav Jung	Výbor z díla 5 – Snové symboly individuačního procesu	Traumsymbole des Individuationsprozesses	2003	1912	80-85880-19-9.jpg	psychologie, jung	Snové symboly individuačního procesu. Úvod do nábožensko-psychologické problematiky alchymie. Pátý svazek výboru z díla.
Carl Gustav Jung	Výbor z díla 3 – Osobnost a přenos	Persolichkeit und Übertragung	2003	1984	80-85880-18-0.jpg	psychologie, jung	Kniha obsahuje Jungovy texty: Vztahy mezi já a nevědomím. Psychologie přenosu.
Carl Gustav Jung	Výbor z díla 2 – Archetypy a nevědomí	Archetyp und Unbewusstes	2003	1934	80-85880-16-4.jpg	psychologie, jung	Kniha obsahuje Jungovy texty: Teoretické úvahy o podstatě duševna. O archetypech kolektivního nevědomí. O pojmu kolektivního nevědomí. O archetypu se zvláštním zřetelem k pojmu animy. Psychologické aspekty archetypu matky. Psychologie archetypu dítěte. O fenomenologii ducha v pohádkách. Transcendentní funkce. O synchronicitě.
Carl Gustav Jung	Výbor z díla VI. – Představy a spásy v alchimii	Erlösungsvorstellungen in der Alchemie	2003	1993	80-85880-21-0.jpg	psychologie, jung	Příspěvek myšlenkovým dějinám alchymie. Šestý svazek výboru z díla.
Carl Gustav Jung	Duše moderního člověka		2003	1933	80-7108-213-9.jpg	psychologie, jung	Soubor původních Jungových prací a ukázky z jeho duchovní autobiografie, jež představují výklad zásadních stanovisek k základním problémům duše moderního člověka.
Carlos Castaneda	Učení dona Juana	The Teaching of Don Juan: A Yaqui Way of Knowledge	2003	1968	80-901622-3-1.jpg	beletrie, duchovní, šamanismus	První kniha „fenoménu Castaneda“, která se rázem stala kultovní knihou své generace a mezi filosofickými bestsellery světa se drží už 30 let. Tato jedinečná zpráva o setkání s jakijským čarodějem donem Juanem nás zavádí do světů, v nichž platí jiné časoprostorové zákony, ale které jsou stejně skutečné jako ten, na nějž jsme zvyklí.
Carlos Castaneda	Oddělená skutečnost	A Separate Reality: Further Conversations with Don Juan	2003	1971	80-7207-518-7.jpg	beletrie, duchovní, šamanismus	V této knize Carlos Castaneda překonal hrůzu ze světa čarodějů a vrátil se k donu Juanovi. Učení s ním je náročné a nebezpečné, ale občas i veselé. Castanedovi se sice nepodaří proniknout do skutečnosti, z níž bojovníci čerpají sílu, ale vynaložená námaha nebyla marná, protože na této cestě dostává i obyčejný svět zcela nové, netušené dimenze.
Carlos Castaneda	Cesta do Ixtlanu	Journey to Ixtlan	2003	1972	80-7207-017-7.jpg	beletrie, duchovní, šamanismus	Třetí část dnes již klasického Castanedova svědectví o soudobém čarodějnictví v Mexiku. Pod vedením dona Juana a dona Genara se Castaneda již desátý rok učí dívat tak, aby 'viděl'. Učí se 'zastavit svět' kolem sebe – prolomit ono všeobecné skálopevné přesvědčení, že to, co vnímáme, skutečně je, protože cesta bojovníka vede trhlinou v této jistotě.
Carlos Castaneda	Příběhy síly	Tales of Power	2003	1974	80-7207-031-2.jpg	beletrie, duchovní, šamanismus	Autor se pod vedením dona Juana a dona Genara opět pouští do vnitřních soubojů se sebou samým a hledá způsob, jak se stát bojovníkem, jak získat sílu a dospět ke skutečnému poznání světa čarodějů.
Carlos Castaneda	Druhý kruh síly	The Second Ring of Power	2003	1977	80-7207-092-4.jpg	beletrie, duchovní, šamanismus	Zatímco až dosud se Castaneda pouštěl do světa čarodějů pod ochranou dona Juana, stal se nyní plnoprávným čarodějem, a proto musí obstát sám a osvědčit platnost don Juanova učení i za velmi dramatických okolností. I když touto knihuo don Juan prostupuje každým okamžikem, nesetkáme se sním. Máme ovšem příležitost seznámit se s dalšími jeho žáky - kromě Pablita, Benigna a Nestora budeme mít příležitost blíž poznat i doňu Soledad, Lidii, Josefinu, Rosu a la Gordu. Jako bojovník ví, že je světelná bytost vybavená druhým kruhem síly – druhou pozorností, která mu dává rychlost potřebnou ke vstupu do jiných dimenzí.
Carlos Castaneda	Dar Orla	The Eagle's Gift	2003	1981	80-7207-115-7.jpg	beletrie, duchovní, šamanismus	Hlavním tématem knihy je nepopsatelná síla, která je zdrojem všeho živého. 'Bojovníci na stezce poznání' ji metaforicky nazývají Orlem. Orel je to, co všem živým bytostem dává vědomí, které jim ve chvíli smrti opět bere. Avšak dává jim také dar: možnost hledat otevření ke svobodě. Pokud využijí této šance a dokáží projít do tzv. třetí pozornosti, neboli absolutního vědomí, mohou neuposlechnout volání smrti.
Carlos Castaneda	Vnitřní oheň	The Fire From Within	2003	1984	80-7207-162-9.jpg	beletrie, duchovní, šamanismus	Kniha o umění uvědomovat si, o mistrovství vědomí. Zasvěcení do prastaré tradice toltéckých zřeců. Střízlivý popis sil ovládajících svět lidí i vesmír, jejichž poznání bojovníkovi umožňuje stát se mistrem vědomí, stopařství a záměru, a tedy být absolutně svobodný. Jedině svobodný bojovník totiž může odolat smrti, protože si sám volí okamžik a způsob svého odchodu. V tu chvíli vzplane vnitřním ohněm a zmizí z tváře této země, jako kdyby nikdy neexistoval.
Dan Cryan, Bill Mayblin, Sharron Shatil	Logika	Logic	2003	2002	80-7178-707-8.jpg	filozofie	Logika je páteří západní civilizace, drží pohromadě její filozofické, vědecké a právní systémy.Navzdory faktu, že důležitost logiky je všeobecně uznávaná, zůstává přesto pro mnohé lidi nesrozumitelnou. Kniha Logika sleduje historický vývoj tohoto klíčového oboru, vysvětluje příslušné symboly a metody a srozumitelně a přístupně zkoumá filozofické otázky, jež se s daným tématem pojí. Ukazuje, jaký má logika vliv na vědecké metody a na různé vědní obory od fyziky po psychologii, a demonstruje, proč počítače a digitální technologie jsou jen dalším případem použití logiky. Poukazuje také na obtíže a omezení logických systémů.
Jan Sokol	Malá filozofie člověka - Slovník filosofických pojmů	Malá filozofie člověka - Slovník filosofických pojmů	2003	1998	978-80-7429-056-5.jpg	filozofie	Kniha má svůj základ v přednáškách o úvodu do filozofie, které autor pronesl na Pedagogické fakultě a Filosofické fakultě UK. Může ale posloužit i jako první uvedení do pestrého světa filosofické problematiky studentům, všem zájemcům o filosofii, studentům vysokých škol i učitelům základních společenských věd na středních školách. Text je doplněn výkladovým slovníkem základních pojmů z oblasti filozofie a dalších humanitních věd.
Hans Dieckmann	Sny jako řeč duše	Träume als Sprache der Seele	2004	2001	80-7178-858-9.jpg	psychologie, sny	V obrazové řeči snů získává naše vědomé já přístup k oblasti nevědomí. Sny jsou proto nejen fascinujícím objektem zkoumání hlubinné psychologie, ale mohou zároveň významným způsobem provázet a podporovat terapeutické a sebeterapeutické procesy. Hans Dickmann, klasik na poli hlubinné psychologie, ve své knize předkládá úvod do hlubinně psychologického výkladu snů, který je přístupný jak odborníkům, tak i čtenářům usilujícím o vlastní sebepoznání.
Milan Nakonečný	Psychologie osobnosti	Psychologie osobnosti	2004	1998	80-200-0628-1.jpg	psychologie	Geneze osobnosti, její utváření, struktura, dynamika a typologie charakterů.
